,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
1,1,Atlanta,0.0,0.0,0.0,0.0,0.0,0.3,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
2,1,Washington,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
3,1,Chicago,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
4,1,Jacksonville,0.0,0.0,0.0,0.0,0.0,0.4,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
5,1,NY Jets,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
6,1,Cleveland,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
7,1,Houston,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
8,1,Tampa Bay,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
9,1,Arizona,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
10,1,Kansas City,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
11,1,Denver,0.0,0.0,0.0,0.0,0.0,0.3,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
12,1,Buffalo,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
13,1,Carolina,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
14,1,NY Giants,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
15,1,Green Bay,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
16,1,Baltimore,0.0,0.0,0.0,0.0,0.0,0.2,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
17,1,Seattle,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
18,1,Philadelphia,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
19,1,Minnesota,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
20,1,Indianapolis,0.0,0.0,0.0,0.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
21,22,Pittsburgh,0.3,0.3,1.0,0.0,0.5,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
22,22,Las Vegas,0.3,0.3,0.0,1.0,0.0,0.2,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
23,22,Detroit,0.3,0.3,0.0,0.5,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
24,22,San Francisco,0.3,0.3,0.0,1.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
25,22,Miami,0.3,0.3,0.0,0.0,1.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
26,22,Tennessee,0.3,0.3,0.0,0.0,1.0,0.0,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
27,22,New England,0.3,0.3,0.0,0.0,0.5,0.3,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
28,22,LA Chargers,0.3,0.3,0.0,0.0,1.0,0.2,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
29,22,LA Rams,0.3,0.3,0.0,0.5,0.0,0.2,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
30,22,Cincinnati,0.3,0.3,0.0,1.0,0.0,0.1,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
31,32,New Orleans,0.7,0.7,1.0,1.0,0.5,0.2,2022-09-27,/nfl/stat/opponent-other-touchdowns-per-game
