,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Tampa Bay,2.5,2.7,3.0,2.0,3.0,1.8,2022-11-02,/nfl/stat/field-goal-attempts-per-game
1,2,Denver,2.4,1.7,0.0,2.8,2.0,1.8,2022-11-02,/nfl/stat/field-goal-attempts-per-game
2,2,NY Giants,2.4,2.0,2.0,3.0,1.8,1.9,2022-11-02,/nfl/stat/field-goal-attempts-per-game
3,4,Las Vegas,2.3,1.3,0.0,2.7,2.0,2.6,2022-11-02,/nfl/stat/field-goal-attempts-per-game
4,5,Pittsburgh,2.3,1.7,2.0,2.0,2.4,2.2,2022-11-02,/nfl/stat/field-goal-attempts-per-game
5,5,Cleveland,2.3,2.7,2.0,1.8,3.0,1.3,2022-11-02,/nfl/stat/field-goal-attempts-per-game
6,5,Baltimore,2.3,3.0,3.0,2.5,2.0,2.2,2022-11-02,/nfl/stat/field-goal-attempts-per-game
7,5,Seattle,2.3,3.0,2.0,2.5,2.0,1.4,2022-11-02,/nfl/stat/field-goal-attempts-per-game
8,9,Houston,2.1,2.0,1.0,1.7,2.5,1.6,2022-11-02,/nfl/stat/field-goal-attempts-per-game
9,10,Dallas,2.1,1.0,0.0,1.6,3.0,2.0,2022-11-02,/nfl/stat/field-goal-attempts-per-game
10,10,Atlanta,2.1,1.3,3.0,2.8,1.5,1.7,2022-11-02,/nfl/stat/field-goal-attempts-per-game
11,10,New Orleans,2.1,2.7,2.0,2.0,2.3,1.8,2022-11-02,/nfl/stat/field-goal-attempts-per-game
12,10,NY Jets,2.1,2.7,2.0,2.3,2.0,1.6,2022-11-02,/nfl/stat/field-goal-attempts-per-game
13,10,New England,2.1,2.3,5.0,2.3,2.0,2.2,2022-11-02,/nfl/stat/field-goal-attempts-per-game
14,10,Indianapolis,2.1,2.0,3.0,2.3,2.0,2.1,2022-11-02,/nfl/stat/field-goal-attempts-per-game
15,16,Chicago,2.0,1.7,1.0,1.0,2.6,1.8,2022-11-02,/nfl/stat/field-goal-attempts-per-game
16,16,Carolina,2.0,1.3,3.0,1.8,2.3,1.7,2022-11-02,/nfl/stat/field-goal-attempts-per-game
17,16,Minnesota,2.0,1.3,1.0,2.0,2.0,2.2,2022-11-02,/nfl/stat/field-goal-attempts-per-game
18,19,Kansas City,1.9,2.0,1.0,2.3,1.5,1.9,2022-11-02,/nfl/stat/field-goal-attempts-per-game
19,19,Buffalo,1.9,1.7,2.0,2.0,1.8,1.7,2022-11-02,/nfl/stat/field-goal-attempts-per-game
20,19,LA Chargers,1.9,2.3,0.0,1.8,2.0,1.6,2022-11-02,/nfl/stat/field-goal-attempts-per-game
21,22,Miami,1.8,2.0,1.0,1.8,1.8,1.8,2022-11-02,/nfl/stat/field-goal-attempts-per-game
22,22,Cincinnati,1.8,0.7,1.0,1.7,1.8,2.3,2022-11-02,/nfl/stat/field-goal-attempts-per-game
23,24,San Francisco,1.6,1.3,1.0,2.7,1.0,1.9,2022-11-02,/nfl/stat/field-goal-attempts-per-game
24,24,Arizona,1.6,1.7,2.0,2.0,1.3,2.1,2022-11-02,/nfl/stat/field-goal-attempts-per-game
25,26,Tennessee,1.6,2.0,2.0,2.7,0.8,1.8,2022-11-02,/nfl/stat/field-goal-attempts-per-game
26,27,Jacksonville,1.5,0.7,1.0,1.3,1.6,1.6,2022-11-02,/nfl/stat/field-goal-attempts-per-game
27,28,Detroit,1.4,1.3,2.0,1.3,1.7,1.8,2022-11-02,/nfl/stat/field-goal-attempts-per-game
28,28,LA Rams,1.4,1.0,0.0,1.0,2.5,2.1,2022-11-02,/nfl/stat/field-goal-attempts-per-game
29,30,Philadelphia,1.3,1.3,0.0,1.3,1.3,1.8,2022-11-02,/nfl/stat/field-goal-attempts-per-game
30,31,Washington,1.3,2.7,1.0,1.3,1.3,1.9,2022-11-02,/nfl/stat/field-goal-attempts-per-game
31,31,Green Bay,1.3,1.3,2.0,2.0,0.8,2.0,2022-11-02,/nfl/stat/field-goal-attempts-per-game
