,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,0.0,0.0,0.0,0.0,0.0,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
1,1,Atlanta,0.0,0.0,0.0,0.0,0.0,0.2,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
2,1,Jacksonville,0.0,0.0,0.0,0.0,0.0,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
3,1,NY Jets,0.0,0.0,0.0,0.0,0.0,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
4,1,Miami,0.0,0.0,0.0,0.0,0.0,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
5,1,Cleveland,0.0,0.0,0.0,0.0,0.0,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
6,1,Tampa Bay,0.0,0.0,0.0,0.0,0.0,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
7,1,Kansas City,0.0,0.0,0.0,0.0,0.0,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
8,1,Buffalo,0.0,0.0,0.0,0.0,0.0,0.0,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
9,1,NY Giants,0.0,0.0,0.0,0.0,0.0,0.2,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
10,1,Baltimore,0.0,0.0,0.0,0.0,0.0,0.2,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
11,1,Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
12,13,Washington,0.1,0.3,0.0,0.2,0.0,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
13,13,Chicago,0.1,0.3,0.0,0.0,0.2,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
14,13,Arizona,0.1,0.0,0.0,0.0,0.3,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
15,13,New England,0.1,0.0,0.0,0.0,0.2,0.2,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
16,13,Green Bay,0.1,0.0,0.0,0.3,0.0,0.0,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
17,13,Cincinnati,0.1,0.0,0.0,0.3,0.0,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
18,19,Pittsburgh,0.1,0.0,0.0,0.0,0.2,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
19,19,Las Vegas,0.1,0.0,0.0,0.3,0.0,0.2,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
20,19,San Francisco,0.1,0.3,0.0,0.0,0.2,0.0,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
21,19,Tennessee,0.1,0.0,0.0,0.0,0.2,0.0,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
22,19,Houston,0.1,0.3,0.0,0.0,0.3,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
23,19,Denver,0.1,0.0,0.0,0.0,0.3,0.2,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
24,19,LA Chargers,0.1,0.0,0.0,0.0,0.3,0.2,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
25,19,Philadelphia,0.1,0.0,0.0,0.3,0.0,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
26,27,Carolina,0.2,0.3,0.0,0.2,0.3,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
27,27,Seattle,0.2,0.3,1.0,0.3,0.2,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
28,27,Indianapolis,0.2,0.7,1.0,0.0,0.4,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
29,30,Detroit,0.4,0.0,0.0,0.4,0.3,0.1,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
30,30,LA Rams,0.4,0.3,0.0,0.4,0.3,0.2,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
31,32,New Orleans,0.4,0.7,0.0,0.2,0.8,0.2,2022-11-09,/nfl/stat/opponent-defensive-touchdowns-per-game
