,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,NY Jets,1.7,1.0,0.0,1.8,1.7,3.3,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
1,2,Cincinnati,1.8,1.7,2.0,1.8,1.8,2.4,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
2,3,New Orleans,1.8,0.7,0.0,2.0,1.7,1.9,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
3,4,Baltimore,1.8,1.7,2.0,1.6,2.0,2.6,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
4,5,Dallas,1.8,1.7,1.0,1.8,1.9,2.2,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
5,6,Denver,1.9,4.0,3.0,1.4,2.3,1.8,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
6,7,San Francisco,2.0,2.7,4.0,1.7,2.2,2.4,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
7,8,Buffalo,2.0,2.7,3.0,2.0,2.0,2.0,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
8,9,Philadelphia,2.1,1.3,1.0,1.6,2.6,2.8,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
9,10,New England,2.1,3.0,3.0,2.1,2.0,2.1,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
10,10,LA Rams,2.1,2.0,1.0,2.1,2.0,2.0,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
11,12,Washington,2.1,2.7,1.0,2.0,2.3,2.8,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
12,12,Pittsburgh,2.1,1.3,2.0,1.9,2.3,2.6,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
13,14,Tennessee,2.2,1.7,1.0,2.1,2.3,2.2,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
14,15,Houston,2.4,2.7,3.0,2.5,2.2,3.1,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
15,15,Green Bay,2.4,2.0,2.0,2.3,2.4,2.4,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
16,17,Jacksonville,2.4,2.3,3.0,1.9,2.7,2.7,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
17,17,NY Giants,2.4,3.0,5.0,2.1,2.6,2.5,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
18,19,Atlanta,2.4,1.3,2.0,2.2,2.6,2.9,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
19,20,Cleveland,2.5,2.0,3.0,2.5,2.4,2.5,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
20,20,Carolina,2.5,2.7,1.0,2.2,2.8,2.5,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
21,22,Kansas City,2.5,1.7,2.0,2.2,2.8,2.6,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
22,23,LA Chargers,2.5,3.0,4.0,2.3,2.7,2.9,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
23,23,Minnesota,2.5,3.0,4.0,2.3,2.8,2.6,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
24,25,Miami,2.6,2.0,4.0,1.6,3.3,2.3,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
25,25,Tampa Bay,2.6,3.7,5.0,2.9,2.2,2.2,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
26,27,Las Vegas,2.6,3.0,4.0,2.6,2.7,2.7,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
27,27,Indianapolis,2.6,3.0,3.0,2.5,2.8,2.5,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
28,29,Seattle,2.7,1.7,4.0,1.9,3.4,2.4,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
29,30,Detroit,2.8,2.0,1.0,2.9,2.8,2.9,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
30,31,Arizona,2.9,2.7,5.0,3.0,2.9,2.4,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
31,32,Chicago,3.1,4.3,3.0,2.8,3.5,2.6,2023-02-09,/nfl/stat/opponent-offensive-touchdowns-per-game
