,Rank,Team,2022,Last 3,Last 1,Home,Away,2021,asof,url
0,1,Dallas,0.00%,0.00%,0,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
1,1,Washington,0.00%,0.00%,0.00%,0.00%,0.00%,9.09%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
2,1,Pittsburgh,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
3,1,Las Vegas,0.00%,0.00%,0,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
4,1,Detroit,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
5,1,Chicago,0.00%,0.00%,0.00%,0.00%,0.00%,3.33%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
6,1,Jacksonville,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
7,1,NY Jets,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
8,1,Tennessee,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
9,1,Houston,0.00%,0.00%,0.00%,0.00%,0.00%,3.70%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
10,1,Arizona,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
11,1,New England,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
12,1,Kansas City,0.00%,0.00%,0,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
13,1,Carolina,0.00%,0.00%,0.00%,0.00%,0.00%,3.45%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
14,1,LA Chargers,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
15,1,LA Rams,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
16,1,Cincinnati,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
17,1,Seattle,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
18,1,Indianapolis,0.00%,0.00%,0.00%,0.00%,0.00%,2.86%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
19,20,Tampa Bay,4.00%,12.50%,0.00%,8.33%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
20,21,Atlanta,5.00%,0.00%,0.00%,7.69%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
21,21,New Orleans,5.00%,0.00%,0.00%,0.00%,10.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
22,21,Denver,5.00%,0.00%,0.00%,9.09%,0.00%,3.23%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
23,21,NY Giants,5.00%,0.00%,0.00%,7.69%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
24,21,Baltimore,5.00%,12.50%,0.00%,0.00%,10.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
25,26,Miami,5.88%,0.00%,0.00%,0.00%,12.50%,9.68%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
26,27,Green Bay,7.69%,0.00%,0.00%,12.50%,0.00%,8.33%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
27,28,Philadelphia,10.00%,0.00%,0,20.00%,0.00%,3.03%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
28,29,Cleveland,10.53%,33.33%,0.00%,11.11%,10.00%,4.55%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
29,30,Buffalo,11.11%,0.00%,0.00%,11.11%,11.11%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
30,30,Minnesota,11.11%,20.00%,0.00%,25.00%,0.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
31,32,San Francisco,12.50%,0.00%,0.00%,9.09%,20.00%,0.00%,2022-11-16,/nfl/stat/field-goal-got-blocked-pct
